"Region","Year","Demographic","Out_of_State","Type of Placement","tot_Value","Measure Type","Variable"
"Region 5: Western","SFY 2005-2006","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","Foster Care",162,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","Group Home",17,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","High Meadows",2,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","Independent Living",10,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","PDC or Safe Home",13,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","Relative Foster Care",92,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","Residential Treatment Center",29,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","Shelter",8,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","Solnit Center",9,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","Special Study",22,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","Therapeutic Foster Care",46,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","In State","Total",411,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Foster Care",7,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Relative Foster Care",5,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Residential Treatment Center",14,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Special Study",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Therapeutic Foster Care",1,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Female","Out of State","Total",27,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Connecticut Juvenile Training School",3,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Foster Care",146,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Group Home",20,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","High Meadows",4,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Independent Living",6,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","PDC or Safe Home",13,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Relative Foster Care",94,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Residential Treatment Center",43,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Shelter",5,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Solnit Center",8,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Special Study",19,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Therapeutic Foster Care",77,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","In State","Total",439,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Foster Care",6,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Group Home",1,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Relative Foster Care",7,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Residential Treatment Center",31,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Special Study",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Therapeutic Foster Care",1,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Male","Out of State","Total",46,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Connecticut Juvenile Training School",3,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Foster Care",308,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Group Home",37,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","High Meadows",6,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Independent Living",16,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Medical or Psychiatric Hospital Placement",2,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","PDC or Safe Home",26,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Relative Foster Care",186,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Residential Treatment Center",72,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Shelter",13,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Solnit Center",17,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Special Study",41,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Therapeutic Foster Care",123,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","In State","Total",850,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Foster Care",13,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Group Home",1,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Relative Foster Care",12,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Residential Treatment Center",45,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Special Study",0,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Therapeutic Foster Care",2,"Number","Children in Placement"
"Region 5: Western","SFY 2005-2006","Total","Out of State","Total",73,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Foster Care",191,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Group Home",28,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","High Meadows",2,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Independent Living",9,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Medical or Psychiatric Hospital Placement",3,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","PDC or Safe Home",9,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Relative Foster Care",98,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Residential Treatment Center",37,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Shelter",7,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Solnit Center",6,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Special Study",21,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Therapeutic Foster Care",43,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","In State","Total",454,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Foster Care",8,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Relative Foster Care",9,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Residential Treatment Center",10,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Special Study",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Female","Out of State","Total",27,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Connecticut Juvenile Training School",7,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Foster Care",191,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Group Home",25,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","High Meadows",9,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Independent Living",4,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Medical or Psychiatric Hospital Placement",3,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","PDC or Safe Home",18,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Relative Foster Care",89,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Residential Treatment Center",46,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Shelter",5,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Solnit Center",5,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Special Study",26,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Therapeutic Foster Care",74,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","In State","Total",502,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Foster Care",4,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Group Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Relative Foster Care",7,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Residential Treatment Center",26,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Special Study",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Therapeutic Foster Care",2,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Male","Out of State","Total",39,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Connecticut Juvenile Training School",7,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Foster Care",382,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Group Home",53,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","High Meadows",11,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Independent Living",13,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Medical or Psychiatric Hospital Placement",6,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","PDC or Safe Home",27,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Relative Foster Care",187,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Residential Treatment Center",83,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Shelter",12,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Solnit Center",11,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Special Study",47,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Therapeutic Foster Care",117,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","In State","Total",956,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Foster Care",12,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Group Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Relative Foster Care",16,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Residential Treatment Center",36,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Special Study",0,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Therapeutic Foster Care",2,"Number","Children in Placement"
"Region 5: Western","SFY 2006-2007","Total","Out of State","Total",66,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Foster Care",211,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Group Home",29,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","High Meadows",1,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Independent Living",9,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","PDC or Safe Home",11,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Relative Foster Care",96,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Residential Treatment Center",40,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Shelter",5,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Solnit Center",7,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Special Study",16,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Therapeutic Foster Care",48,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","In State","Total",474,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Foster Care",10,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Relative Foster Care",9,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Residential Treatment Center",10,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Special Study",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Therapeutic Foster Care",2,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Female","Out of State","Total",32,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Connecticut Juvenile Training School",5,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Foster Care",199,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Group Home",25,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","High Meadows",7,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Independent Living",2,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","PDC or Safe Home",16,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Relative Foster Care",94,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Residential Treatment Center",28,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Shelter",8,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Solnit Center",9,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Special Study",31,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Therapeutic Foster Care",80,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","In State","Total",505,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Foster Care",5,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Group Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Relative Foster Care",9,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Residential Treatment Center",31,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Special Study",1,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Therapeutic Foster Care",3,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Male","Out of State","Total",49,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Connecticut Juvenile Training School",5,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Foster Care",410,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Group Home",54,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","High Meadows",8,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Independent Living",11,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Medical or Psychiatric Hospital Placement",2,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","PDC or Safe Home",27,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Relative Foster Care",190,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Residential Treatment Center",68,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Shelter",13,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Solnit Center",16,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Special Study",47,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Therapeutic Foster Care",128,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","In State","Total",979,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Foster Care",15,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Group Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Relative Foster Care",18,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Residential Treatment Center",41,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Special Study",1,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Therapeutic Foster Care",5,"Number","Children in Placement"
"Region 5: Western","SFY 2007-2008","Total","Out of State","Total",81,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Foster Care",195,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Group Home",29,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","High Meadows",0,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Independent Living",6,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Medical or Psychiatric Hospital Placement",2,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","PDC or Safe Home",12,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Relative Foster Care",90,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Residential Treatment Center",33,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Shelter",4,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Solnit Center",7,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Special Study",24,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Therapeutic Foster Care",51,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","In State","Total",453,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Foster Care",9,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Relative Foster Care",11,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Residential Treatment Center",9,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Special Study",0,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Therapeutic Foster Care",1,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Female","Out of State","Total",31,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Male","In State","Connecticut Juvenile Training School",7,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Male","In State","Foster Care",168,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Male","In State","Group Home",33,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Male","In State","High Meadows",5,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Male","In State","Independent Living",3,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Male","In State","Medical or Psychiatric Hospital Placement",3,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Male","In State","PDC or Safe Home",12,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Male","In State","Relative Foster Care",63,"Number","Children in Placement"
"Region 5: Western","SFY 2008-2009","Male","In State","Residential Treatment Center",32,"Number","Children in Placement"
